id,partnerid,sessionid,males,females,ageyo,sex,impfa,impba,impku,impam,impin,impcr,impco,imphp,impha,gfattrac,gbattrac,goattrac,gintelligent,gconfident,gkindunder,gambitious,gfunny,gcreative,gpercfunny,prefa,preba,preku,pream,prein,preco,precr,prehp,preha
14000031,14001031,1403,4,5,23.75,M,5,5,6,5,6,NA,NA,NA,NA,4,4,5,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000031,14001032,1403,4,5,23.75,M,5,5,6,5,6,NA,NA,NA,NA,6,6,6,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000031,14001033,1403,4,5,23.75,M,5,5,6,5,6,NA,NA,NA,NA,5,5,6,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000031,14001034,1403,4,5,23.75,M,5,5,6,5,6,NA,NA,NA,NA,3,5,5,6,6,6,5,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000031,14001035,1403,4,5,23.75,M,5,5,6,5,6,NA,NA,NA,NA,6,6,6,6,6,6,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000032,14001031,1403,4,5,17.83333333,M,5,4,7,5,4,NA,NA,NA,NA,5,5,5,5,6,5,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000032,14001032,1403,4,5,17.83333333,M,5,4,7,5,4,NA,NA,NA,NA,5,5,5,5,5,5,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000032,14001033,1403,4,5,17.83333333,M,5,4,7,5,4,NA,NA,NA,NA,7,6,7,5,6,6,4,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000032,14001034,1403,4,5,17.83333333,M,5,4,7,5,4,NA,NA,NA,NA,5,5,5,6,6,5,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000032,14001035,1403,4,5,17.83333333,M,5,4,7,5,4,NA,NA,NA,NA,6,6,6,5,5,5,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000033,14001031,1403,4,5,24.75,M,5,5,6,6,4,NA,NA,NA,NA,4,4,3,6,6,4,6,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000033,14001032,1403,4,5,24.75,M,5,5,6,6,4,NA,NA,NA,NA,6,5,5,6,4,5,5,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000033,14001033,1403,4,5,24.75,M,5,5,6,6,4,NA,NA,NA,NA,6,5,6,6,6,6,7,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000033,14001034,1403,4,5,24.75,M,5,5,6,6,4,NA,NA,NA,NA,6,6,6,4,5,6,4,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000033,14001035,1403,4,5,24.75,M,5,5,6,6,4,NA,NA,NA,NA,3,3,4,5,4,4,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000035,14001031,1403,4,5,18.08333333,M,6,4,5,5,5,NA,NA,NA,NA,4,5,5,4,6,6,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000035,14001032,1403,4,5,18.08333333,M,6,4,5,5,5,NA,NA,NA,NA,5,5,5,6,6,5,6,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000035,14001033,1403,4,5,18.08333333,M,6,4,5,5,5,NA,NA,NA,NA,5,5,6,5,6,5,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000035,14001034,1403,4,5,18.08333333,M,6,4,5,5,5,NA,NA,NA,NA,5,3,5,6,6,5,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
